tagging,training_data
"wifi, visa",Bagaimana cara connect wifi dan visa
wifi,connect wifi
wifi,wifi bermasalah
visa,saya ingin konek ke visa tapi tidak bisa
"wifi, visa",Bagaimana cara connect wifi di visa?
wifi,cara konek ke wifi
"wifi, visa",Cara connect visa dan wifi
sap,Reset SSL SAP login
network,gagal connect network
vpn,Setting VPN Mac OS
printer,Setting PC untuk printer
paradise,Tidak bisa masuk aplikasi Paradise Web
"reset password, password",Ganti password domain
sccm,Install Aplikasi 7zip di laptop Saya
install passport,Install vpn
"Install Perso, my perso",install perso
"network, gagal connect",Gagal join corporate network
file sharing,Gagal connect file sharing
unlock domain,Unlock domain
printer,Instalasi printer driver
sccm,Ingin install aplikasi zoom
sccm,Mau install aplikasi cloudx-latest
sccm,install cloudx
sccm,Install aplikasi Cloudx
sccm,installing software cloudx
sccm,cara install aplikasi
sccm,panduan menginstall software
sccm,bagaimana saya menginstall aplikasi
sccm,Update aplikasi cloudx terbaru
outlook,Email Outlook tidak update
printer,instal private print
sccm,Instal App Cloud X
vpn,Vpn putus sambung
SAP,Sap cannot login
sccm,Mohon bantuan update aplikasi Power BI Desktop
vpn,Tidak bisa login IBM
vpn,case error ibm verify application
email,sudah berhasil ganti password domain tapi tidak bisa login ke email di laptop padahal sudah berhasil login ke password domain yang baru laptop sudah di restart dan masih tidak bisa login email telkomsel fyi email di HP sudah bisa login terima kasih
"visa, reset password",reset password visa laptop
Passport,Ibm passportku kenapa sih ini
Passport,Passportku error nih
Passport,Tolong bantuin passport dong
wifi,connect ke SSID izone
wifi,cara connect ke SSID byod
intranet,tidak bisa intranet
visa,Bagaimana cara visa
"reset password, password",Bantuin reset pasaword dong
ticket,aku mau request ticket
"reset password, password",Gimana cara reset password
ditaaja,Bot dita aja
unlock domain,Unlock user
ticket,Create ticket request
"reset password, password",Reset Password Domain
"reset password, password",Alternatif reset password
moana,Cara submit STPD di moana
visa,bagaimana cara login visa
visa,Apa Itu Visa
