tagging,training_data
visa,cara connect ke visa
wifi,cara connect ke wifi
email,cara setting email
"gagal connect, vpn",gagal connect ke vpn
reset password,cara reset password domain
ticket,panduan cara membuat ticket
ticket,bagaimana cara membuat ticket
visa,panduan cara connect visa
email,bagaimana cara setting email
laptop,bagaimana mengatasi laptop error
"gagal connect, login, network",gagal login network
domain,Unlock user domain
laptop,Bagaimana cara atasi laptop error
vpn,Bagaimana cara Login VPN
visa,Cara Login VISA
ticket,Cara buat ticket visa management
moana,Cara menggunakan moana
wifi,tidak bisa connect ke wifi
network,tidak bisa connect ke corporate network
network,network error
"reset password, password",password saya expired
"reset password, password",panduan reset password
domain,User domain saya ke lock
moana,Cara install moana
"reset password, password",cara ubah password domain
"visa, vpn",bagaimana cara connect visa dan vpn
wifi,Connect ke byod
wifi,Cara connect wifi
domain,domain saya terkunci
laptop,kenapa laptop saya bermasalah
"visa, gagal connect",gagal connect visa
ticket,cara membuat ticket regional support
login,login onedrive dari web browser
login,panduan login onedrive dari browser
dsc,cara login dsc dengan passport
email,Bagaimana cara backup email
"wifi, visa",cara connect wifi dan connect visa
visa,cara menggunakan visa
"wifi, vpn, visa",cara terhubung ke intranet
vpn,panduan connect vpn
visa,panduan login ke visa
"domain, reset password, password",bagaimana cara unlock domain dan reset password
"reset password, moana, password",reset password dari moana
ticket,create ticket request
laptop,Bagaimana cara atasi laptop yang error
"email, gagal connect",gagal connect email
network,bagaimana cara mengatasi network error
vpn,panduan cara connect vpn
"gagal connect, visa, vpn, wifi",gagal connect ke intranet
"visa, vpn, wifi",bagaimana saya terhubung ke intranet
wifi,tidak bisa connect ke izone
wifi,bagaimana cara connect wifi byod
domain,domain saya tidak dapat di akses
email,cara buat folder di email
login,bagaimana cara login ke onedrive
"ticket, wifi",bagaimana cara buat ticket dan connect wifi
"vpn, wifi",gimana caranya saya connect vpn dan wifi
"vpn, wifi",saya ingin connect ke vpn dan wifi
"reset password, wifi",cara reset password dan connect ke wifi
"reset password, wifi",connect ke wifi tapi sebelum itu reset password dulu
"moana, reset password, password",menggunakan moana bagaimana caranya saya mereset password domain
"moana, reset password, password",saya mau reset password dengan moana
"reset password, password",saya ingin ubah password saya
"reset password, password",bantu saya untuk merubah password
dsc,cara connect dsc
dsc,bagaimana cara menggunakan DSC
dsc,bagaimana cara menambah user di DSC
sccm,saya ingin install aplikasi
sccm,bagaimana cara melakukan instalasi aplikasi
sccm,panduan cara instalasi aplikasi lewat software center
sccm,cara install winrar di laptop
sccm,cara install aplikasi baru
"gagal connect, visa, vpn, wifi",tidak bisa connect ke intranet
gagal connect,tidak terhubung ke jaringan sama sekali
ticket,saya mau buat ticket komplain visa
ticket,visa saya error dan saya mau buat ticket
ticket,bantu saya untuk membuat ticket komplain visa dong
"wifi, visa, vpn",bagaimana cara connect izone visa dan vpn
"wifi, visa, vpn",saya ingin connect ke byod visa dan vpn
ticket,cara buat komplain visa management
ticket,panduan buat komplain visa management
